,Song Name,Artist Name,Artist Popularity,Artist Genres,Artist Followers,Danceability,Energy,Track ID,Loudness,Speechiness,Acousticness,Tempo,Key,Instrumentalness,Lyrics,Popularity,Liveness,Valence,Time Signature List,Duration,Hit
0,Jenny Was A Friend Of Mine,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.547,0.966,4QK4pMWEwlXxwg1zp08xpl,-3.839,0.0452,0.000138,114.053,11,0.000659,"We took a walk that night but it wasn't the same We had a fight on the promenade out in the rain She said she loved me but she had somewhere to go She couldn't scream while I held her close I swore I never let her go  Tell me what you wanna know Oh come on, oh come on, oh come on There ain't no motive for this crime Jenny was a friend of mine ...  *******  ******* ",56,0.312,0.532,4,243933,1
1,Mr. Brightside,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.33,0.936,7oK9VyNzrYvRFo7nQEYkWN,-3.66,0.0917,0.00108,148.112,1,0,"I'm coming out of my cage and I've been doing just fine Gotta, gotta be down because I want it all It started out with a kiss, how did it end up like this? It was only a kiss, it was only a kiss Now I'm falling asleep and she's calling a cab While he's having a smoke and she's taking a drag Now they're going to bed and my stomach is sick And it's all in my head, but she's touching his  Chest now, he takes off her dress now Let me go I just can't look, it's killing me And taking control  ...  *******  ******* ",81,0.0926,0.234,4,222587,1
2,Smile Like You Mean It,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.378,0.979,4kAgnAL4WKx7YqnlL2fvMh,-2.622,0.133,0.000565,125.1,3,0.0159,"Save some face, you know you've only got one Change your ways while you're young Boy, one day you'll be a man Oh girl, he'll help you understand  Smile like you mean it Smile like you mean it  Looking back at sunsets on the East side ...  *******  ******* ",61,0.226,0.535,4,234107,1
3,Somebody Told Me,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.5,0.975,7HGTkn2aX7MNdKs7nV2xBt,-3.176,0.0824,0.000123,138.005,10,0.000379,"Breakin' my back just to know your name Seventeen tracks and I've had it with this game A breakin' my back just to know your name But heaven ain't close in a place like this Anything goes but don't blink, you might miss Cause heaven ain't close in a place like this I said heaven ain't close in a place like this Bring it back down, bring it back down tonight Never thought I'd let a rumor ruin my moonlight  Well somebody told me you had a boyfriend Who looked like a girlfriend That I had in February of last year It's not confidential, I've got potential  Ready let's roll onto something new Takin' it's toll then I'm leaving without you Cause heaven ain't close in a place like this ...  *******  ******* ",71,0.104,0.767,4,197160,1
4,All These Things That I've Done,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.558,0.74,0kYUrLVQOfx21xuXu7OGrT,-6.22,0.0448,0.00192,118.293,6,8.97E-06,"When there's nowhere else to run Is there room for one more son One more son If you can hold on If you can hold on, hold on I wanna stand up, I wanna let go You know, you know - no you don't, you don't I wanna shine on, in the hearts of men I want a meaning from the back of my broken hand Another head aches, another heart breaks I'm so much older than I can take And my affection, well it comes and goes I need direction to perfection, no no no no Help me out - Yeah You know you got to help me out - Yeah Oh, don't you put me on the back burner You know you got to help me out - Yeah And when there's nowhere else to run ...  *******  ******* ",68,0.129,0.217,4,301573,1
5,"Andy, You're A Star",The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.495,0.604,3Jm6PDqIputlpeg75EtDic,-4.234,0.0251,0.228,84.067,1,0.00406,"One, two  On the field I remember you were incredible Hey, shut up, hey, shut up, yeah On the field I remember you were incredible Hey, shut up, hey, shut up, yeah  On the match with the boys you think you're alone With the pain that you drained from love In a car with a girl Promise me she's not your world ...  *******  ******* ",53,0.266,0.679,4,194080,1
6,On Top,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.586,0.934,4auE2w8sP6HYrA3Dcokmdl,-3.157,0.0353,0.0154,126.981,1,0,"Remember Rio and get down Like some other DJ, in some other town She's been trying to tell me to hold tight But I've been waiting this whole night But I've been down across a road or two But now I've found the velvet sun That shines on me and you  In the back, uh huh, I can't crack We're on top It's just a shimmy and a shake, uh huh I can't fake, we're on top We're on top  The day is breaking, we're still here Your body's shaking, and it's clear ...  *******  ******* ",53,0.105,0.72,4,258987,1
7,Change Your Mind,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.373,0.979,083cgOBzPBFBrqYFJDWPis,-2.238,0.0707,0.000247,147.043,5,4.61E-06,"Racy days, help me through the hopeless haze But my, oh my Tragic eyes I can't even recognize myself behind So if the answer is no Can I change your mind?  Out again, a siren screams at half past ten And you won't let go While I ignore, that we both felt like this ...  *******  ******* ",55,0.134,0.451,4,190840,1
8,Believe Me Natalie,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.434,0.906,67kIfRYFai45yakOuXhndQ,-5.298,0.0552,1.62E-05,95.974,0,0.00748,"Believe me, Natalie Listen Natalie This is your last chance to find A go-go dance to disco now Please believe me, Natalie Listen Natalie This is your last chance to find A go-go dance to disco now  Forget what they said in Soho Leave the oh-no's out And believe me, Natalie Listen Natalie This is your last chance  ...  *******  ******* ",49,0.052,0.225,4,306667,1
9,Midnight Show,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.403,0.954,7KC3BSniVDfKMD8YLKmOrf,-3.364,0.0752,0.000102,143.983,3,0.00616,"I know what you want I'm gonna take you to a midnight show tonight If you can keep a secret I got a blanket in the back seat on my mind  And a little place that sits beneath the sky She turned her face to speak, but no one heard her cry  Drive faster, boy Drive faster, boy  I know there's a hope There's too many people tryin' to help me cope You got a real short skirt ...  *******  ******* ",49,0.0875,0.315,4,242973,1
