,Song Name,Artist Name,Artist Popularity,Artist Genres,Artist Followers,Danceability,Energy,Track ID,Loudness,Speechiness,Acousticness,Tempo,Key,Instrumentalness,Lyrics,Popularity,Liveness,Valence,Time Signature List,Duration,Hit,Artist Hit
0,Jenny Was A Friend Of Mine,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.547,0.966,4QK4pMWEwlXxwg1zp08xpl,-3.839,0.0452,0.000138,114.053,11,0.000659,took walk night wasnt fight promenade rain said loved somewhere go couldnt scream held close swore never let go tell wanna know oh come oh come oh come aint motive crime jenny friend mine,56,0.312,0.532,4,243933,1,1
1,Mr. Brightside,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.33,0.936,7oK9VyNzrYvRFo7nQEYkWN,-3.66,0.0917,0.00108,148.112,1,0,im coming cage ive fine gotta gotta want started kiss end like kiss kiss im falling asleep shes calling cab he smoke shes taking drag theyre going bed stomach sick head shes touching chest take dress let go cant look killing taking control,81,0.0926,0.234,4,222587,1,1
2,Smile Like You Mean It,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.378,0.979,4kAgnAL4WKx7YqnlL2fvMh,-2.622,0.133,0.000565,125.1,3,0.0159,save face know youve got one change way youre young boy one day youll man oh girl hell help understand smile like mean smile like mean looking back sunset east side,61,0.226,0.535,4,234107,1,1
3,Somebody Told Me,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.5,0.975,7HGTkn2aX7MNdKs7nV2xBt,-3.176,0.0824,0.000123,138.005,10,0.000379,breakin back know name seventeen track ive game breakin back know name heaven aint close place like anything go dont blink might miss cause heaven aint close place like said heaven aint close place like bring back bring back tonight never thought id let rumor ruin moonlight well somebody told boyfriend looked like girlfriend february last year confidential ive got potential ready let roll onto something new takin toll im leaving without cause heaven aint close place like,71,0.104,0.767,4,197160,1,1
4,All These Things That I've Done,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.558,0.74,0kYUrLVQOfx21xuXu7OGrT,-6.22,0.0448,0.00192,118.293,6,8.97E-06,there nowhere else run room one son one son hold hold hold wanna stand wanna let go know know dont dont wanna shine heart men want meaning back broken hand another head ache another heart break im much older take affection well come go need direction perfection help yeah know got help yeah oh dont put back burner know got help yeah there nowhere else run,68,0.129,0.217,4,301573,1,1
5,"Andy, You're A Star",The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.495,0.604,3Jm6PDqIputlpeg75EtDic,-4.234,0.0251,0.228,84.067,1,0.00406,one two field remember incredible hey shut hey shut yeah field remember incredible hey shut hey shut yeah match boy think youre alone pain drained love car girl promise shes world,53,0.266,0.679,4,194080,1,1
6,On Top,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.586,0.934,4auE2w8sP6HYrA3Dcokmdl,-3.157,0.0353,0.0154,126.981,1,0,remember rio get like dj town shes trying tell hold tight ive waiting whole night ive across road two ive found velvet sun shine back uh huh cant crack top shimmy shake uh huh cant fake top top day breaking still body shaking clear,53,0.105,0.72,4,258987,1,1
7,Change Your Mind,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.373,0.979,083cgOBzPBFBrqYFJDWPis,-2.238,0.0707,0.000247,147.043,5,4.61E-06,racy day help hopeless haze oh tragic eye cant even recognize behind answer change mind siren scream half past ten wont let go ignore felt like,55,0.134,0.451,4,190840,1,1
8,Believe Me Natalie,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.434,0.906,67kIfRYFai45yakOuXhndQ,-5.298,0.0552,1.62E-05,95.974,0,0.00748,believe natalie listen natalie last chance find gogo dance disco please believe natalie listen natalie last chance find gogo dance disco forget said soho leave ohnos believe natalie listen natalie last chance,49,0.052,0.225,4,306667,1,1
9,Midnight Show,The Killers,80,"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3950428,0.403,0.954,7KC3BSniVDfKMD8YLKmOrf,-3.364,0.0752,0.000102,143.983,3,0.00616,know want im gonna take midnight show tonight keep secret got blanket back seat mind little place sits beneath sky turned face speak one heard cry drive faster boy drive faster boy know there hope there many people tryin help cope got real short skirt,49,0.0875,0.315,4,242973,1,1
